name,boxoffice,Unit,Director,genre,date,actor
名侦探柯南：零的执行人,12700,万,立川让,"动画,动作,悬疑",2018-11-09大陆上映,"青山刚昌,上户彩,井上和彦,樱井武晴,小山力也,置鲇龙太郎,山崎和佳奈,山口胜平,林原惠美,绪方贤一,古谷彻,高山南"
胡桃夹子和四个王国,11200,万,"拉斯·霍尔斯道姆,乔·庄斯顿","动作,冒险,奇幻",2018-11-02大陆上映,"理查德·E·格兰特,乔·庄斯顿,杰克·怀特霍尔,艾丽·巴姆博,麦肯吉·弗依,梅拉·沙尔,凯拉·奈特莉,Ashleigh Powell,汤姆·斯威特,芙洛·费拉科,尼克·穆罕默德,米斯蒂·科普兰,马修·麦克费登,汤姆·麦卡锡,马里安·洛伦西克,摩根·弗里曼,杰茜·维宁,谢尔盖·波卢宁,欧米德·吉亚李利,海伦·米伦,E·T·A·霍夫曼,杰登·奈特,米兰达·哈特,詹姆斯·纽顿·霍华德,丽塔-麦克唐纳丹帕,查尔斯·斯特里特,欧赫尼奥·德尔维斯"
飓风奇劫,9512,万,罗伯·科恩,"动作,犯罪,灾难",2018-11-02大陆上映,"玛姬·格蕾斯,安东尼·芬林顿,拉尔夫·尹爱森,斯图尔特·麦克奎里,梅丽莎·博洛纳,艾德·伯奇,斯科特·温德豪泽,阿塔纳斯·斯雷布雷夫,杰米·安德鲁·卡特勒,娜塔莎·卡拉姆,杰夫·狄克逊,莱昂纳多·狄更斯,卢克·朱迪,卡洛斯·戴维斯,埃里克·罗德尔,马克·史密斯,安德烈·鲁滨孙,布鲁克·约翰斯顿,托比·凯贝尔,本·克劳斯,瑞恩·柯万腾,帕特里克·麦考利,克里斯蒂安·孔特雷拉斯"
你好，之华,8007,万,岩井俊二,"剧情,爱情",2018-11-09大陆上映,"张子枫,边天扬,岩井俊二,胡歌,陈可辛,邓恩熙,赵宇,杜江,周迅,谭卓,陆文华,秦昊,陈迪凯,唐昕,吴彦姝"
流浪猫鲍勃,5298,万,罗杰·斯波蒂斯伍德,"剧情,喜剧,传记",2018-11-02大陆上映,"Jill Buchanan,罗伯·贾维斯,Peter Wunstorf,Anushka Cross,Cache Thake,洛琳·艾什本,鲁斯·西恩,Jill Winternitz,Tim Baros,贝丝·戈达德,提姆·约翰,卡罗琳·古多尔,丹尼尔·斯蒂森,Lauren Patchcott,琼安·弗洛加特,Franc Ashman,加里·詹金斯,露塔·格德米纳斯,Thomas Jenkins,阿卡巴尔·库尔塔,妮娜·瓦迪娅,Kaveh Khatiri,Adam Riches,Shihoko Nagai,雅各布·詹姆斯·贝西克,纳迪安·马歇尔,猫鲍勃,詹姆斯·鲍恩,戴伦·伊万斯,玛丽亚·内申,卢克·崔德威,丹尼尔·弗恩,Taylor Keegan,安东尼·海德,罗茜·伊德,李·尼古拉斯·哈里斯,Kevin Hudson,Patchcott Lauren,约翰·亨肖,Mark Behan,里维拉·吉迪恩,弗朗西斯·阿什曼,伊万娜·贝斯克"
无双,127300,万,庄文强,"动作,惊悚,犯罪",2018-09-30大陆上映,"张松枝,周润发,邢佳栋,张静初,冯文娟,高捷,庄文强,郭富城,黄斌,张建声,吴嘉龙,王耀庆,乔治,王凯,周家怡,方中信,廖启智,孙佳君"
铁血战士,21600,万,沙恩·布莱克,"动作,冒险,科幻",2018-10-26 08:00大陆上映,"亨利·杰克曼,奥古斯托·阿奎莱拉,斯特林·K·布朗,爱德华·詹姆斯·奥莫斯,弗雷泽·科比特,杰·哈科特,史蒂夫·怀尔德,吉姆·托马斯,弗雷泽·艾奇逊,阿尔菲·艾伦,布赖恩·A·普林斯,肖恩·O.罗伯茨,波伊德·霍布鲁克,麦克·多普德,伊冯娜·斯特拉霍夫斯基,约翰·戴维斯,托马斯·简,约翰·托马斯,帕特里克·萨邦圭,奥立薇娅·玛恩,弗莱德·戴克尔,拉瑞·方,尼尔迈特,里斯·威廉姆斯,杰克·布塞,叶芳华,安德鲁·詹金斯,加里·切克,柯林·科里根,雅各布·特瑞布雷,崔凡特·罗兹,科甘-迈克尔·凯,艾米·阿内克,简·波斯,沙恩·布莱克,菲利普·沃尔夫,萨奇·布洛克勒班克,阿隆·克拉文,洛奇林·莫罗"
冰封侠:时空行者,3449,万,叶伟民,"剧情,动作",2018-11-02大陆上映,"王梓桐,江疏影,王勇,任达华,安德鲁·达兹,黄建新,黄圣依,庄思敏,哈里·奥拉姆,王宝强,张少华,黄京,吴俊余,文隽,董峥嵘,胡明,林雪,王文绮,甄子丹,仓田保昭,喻亢,林自龙,林爱琴,鲍起静,任磊"
嗝嗝老师,14900,万,西达尔特·马尔霍特拉,"剧情,喜剧",2018-10-12大陆上映,"拉妮·玛克赫吉,内拉吉·卡比,巴·哈达普,阿斯夫·巴斯拉,维克拉姆·古哈勒,什库马尔·苏布拉马尼亚姆,侯赛因·达拉尔,罗特·萨拉夫,苏普丽雅·皮尔加卡尔,西达尔特·马尔霍特拉,加内萨·潘德特,加纳特·拉玛妮,萨钦"
昨日青空,8382,万,奚超,"剧情,动画",2018-10-26 08:00大陆上映,"苏尚卿,慧明,奚超,曹曙婷,王一博,马斑马,口袋巧克力,段艺璇"
滴答屋,1905,万,伊莱·罗斯,"喜剧,冒险,奇幻",2018-11-01 18:00大陆上映,"德梅特里·兰德尔,杰克·布莱克,伊莱·罗斯,凯特·布兰切特,De&#x27;Jon Watts,洛伦扎·伊佐,内森·巴尔,约翰·贝莱尔,艾力克·克莱普科,弗雷德·拉斯金,欧文·瓦卡罗,Anna Chuancheun,桑尼·苏尔季克,凯尔·麦克拉克伦,芮妮·戈兹贝里,艾伦·比尔纳,Perla Middleton,Christian Calloway,Vanessa Anne Williams,查尔斯·格林,Braxton Bjerken,考林·加普"
雪怪大冒险,7503,万,"格伦·费卡拉,杰森·雷西格,凯瑞·柯克帕特里克","喜剧,动画,奇幻",2018-10-19大陆上映,"赞达亚·科尔曼,约翰·里夸,查宁·塔图姆,吉娜·罗德里格兹,凯瑞·柯克帕特里克,詹姆斯·柯登,格伦·费卡拉,丹尼·德维托,勒布朗·詹姆斯,科曼,伊利·亨利,塞尔希奥·巴勃罗斯,杰森·雷西格,雅拉·沙希迪,吉米·塔特罗"
找到你,28500,万,吕乐,剧情,2018-10-05大陆上映,"姚晨,陈醉,朱玮杰,任仲伦,齐瓒,陈红莉,陈洁,高叶,吴昊宸,袁文康,温波,郑志昊,卢茜,程马志远,陶昕然,安巍,李岩葳,张一凡,沈培今,綦建虹,韩梅,王中军,马伊琍,袁晶,叶宁,凡哲浩,黄霁,李岩崴,齐襄,陆垚,滕雯,王梓尘,曾茂军,柳庆庆,郑剑锋,冯小刚,张大军,郁冠冠,秦海燕,徐春萍,刘辉,艾尼瓦尔·乌甫尔,刘茜茜,张阳冰,王中磊"
影,62800,万,张艺谋,"剧情,动作,古装",2018-09-30 08:00大陆上映,"陈美静​​​,李擎,杨江,捞仔,艾秋兴,王千源,宓达,陈肃,郑志昊,唐毅斌,王星会,赵小丁,黄宝荣,庞丽薇​,马捷,窦雨春,孙俪,马光荣,刘军,廉洁,乔青山,谷轩昭,邓超,王景春,康利,周肖林,李威,赵楠,郭珂羽,郑恺,陈力之,张艺谋,胡军,黄紫燕,王小柱,何英民,高莉,程武,吴磊,陈敏正,邢瑾,谢炀,关晓彤,刘苇浩,张昭,于冬,史亮,权葳,陈英杰"
李茶的姑妈,60400,万,吴昱翰,喜剧,2018-09-30 08:00大陆上映,"谭玉坤,杨江,诸晓晨,王宇,乔峰,李昇,张镨冉,王成思,郑志昊,遇凯,刘洪涛,谢灵珏,李炳强,沈腾,李晓东,张晨,吴瑾蓉,杨志,佘益坤,周茂非,楼守威,韩彦博,吴桐,王莉,常远,卢靖姗,康利,张莉,赵楠,张琛,何毅,张宇轩,郝笑雨,陈冰,樊路远,曾茂军,刘荣,曹华益,宋阳,李点石,黄才伦,钱晨光,郑一肖,艾伦,徐天福"
胖子行动队,26100,万,包贝尔,"喜剧,动作",2018-09-30大陆上映,"陈志英,曹万强,朱玮杰,李昭桦,包贝尔,肖进,黄尚俊,郭京飞,陈志伟,张鹏,辣目洋子,曾一竣,木幡龙,克拉拉,宋佳,邝文伟,文隽,鲜绍娟,张学明,刘旭,秦鹏飞,张雪明,仓田保昭,王兵,李锦文,袁冰涛,张世杰,文章,张梦露,许君聪,戚玉武,诺帕瓦特·里基特王,李婕语,刘智林,秦小珍,徐建,孔令平"
悲伤逆流成河,35600,万,落落,"剧情,爱情,家庭",2018-09-21大陆上映,"辣目洋子,陈健,任重,任敏,辛云来,陶慧敏,李昆,武時久,林珍,朱丹妮,落落,邬君梅,崔凯,郭敬明,章若楠,赵英博"
阿凡提之奇缘历险,7675,万,刘炜,"动画,冒险",2018-10-01大陆上映,"任仲伦,忻元君,黄晨,阮良,王长亮,周南飞,刘炜,胡兆洪,速达,杜欧杰,王衡,游军,夏力立,朱毓平,郑虎,李军,胡谦,七格,黄震宇,蒋可,张青,陈波,李扬,廖智勇,瞿巍,戴维,杨硕,蔡永亮,陆斌,谭新政,李晔,王远超,王燕华,严丽祯,王骏"
我的间谍前男友,6172,万,苏珊娜·福格尔,"喜剧,动作",2018-10-19大陆上映,"阿格尼丝·班福尔维,简·库丁,罗德里克·希尔,贾斯汀·塞洛克斯,阿提拉·阿帕,米拉·库尼斯,玛丽亚·Z·威尔逊,弗雷德·迈拉麦德,保罗·雷瑟,萨姆·修汉,鲁比·卡默尔,恩斯特-马库斯·托马斯,拉斯洛·阿隆,吉莲·安德森,奥拉维尔·达里·奥拉夫松,巴纳巴斯·雷蒂,卡罗琳·皮克尔斯,詹姆斯·弗雷特,薇尔玛·斯泽克斯,贾斯婷·瓦希伯格,凯特·麦克金农,伊万娜·萨赫诺,凯文·亚当斯,汤姆·斯托顿,哈桑·明哈杰,苏珊娜·福格尔,大卫·伊瑟森"
